方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间
卖出,MSFT,微软,502.02,70,"35,141.40",全部成交,70@502.04,2026/08/11 09:34:21 (美东),限价单,当日有效,,盘中,,,美股,USD,,70,502.04,"35,142.80",2026/08/11 09:34:21 (美东)
卖出,UNH,联合健康,408.25,60,"24,495.00",全部成交,60@408.25,2026/08/04 11:06:17 (美东),限价单,当日有效,,盘中,,,美股,USD,,60,408.25,"24,495.00",2026/08/04 11:06:17 (美东)
买入,CRML,Critical Metals,10.09,"1,500","15,135.00",全部成交,"1,500@10.09",2026/05/20 10:02:11 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,90,10.09,908.1,2026/05/20 10:03:47 (美东)
买入,INTC,英特尔,118.74,109,"12,942.66",全部成交,109@118.74,2026/05/20 09:31:46 (美东),限价单,当日有效,,盘中,,,美股,USD,,109,118.74,"12,942.66",2026/05/20 09:31:46 (美东)
卖出,AAPL,苹果,295.88,27,"7,988.76",全部成交,27@295.905,2026/05/18 12:59:50 (美东),限价单,当日有效,,盘中,,,美股,USD,,27,295.905,"7,989.44",2026/05/18 12:59:50 (美东)
卖出,UNH,联合健康,385.31,46,"17,724.26",全部成交,46@385.31,2026/05/18 10:16:54 (美东),限价单,当日有效,,盘中,,,美股,USD,,46,385.31,"17,724.26",2026/05/18 10:16:55 (美东)
卖出,INTC,英特尔,122.9,52,"6,390.80",全部成交,52@122.90,2026/05/12 10:18:18 (美东),限价单,当日有效,,盘中,,,美股,USD,,52,122.9,"6,390.80",2026/05/12 10:18:19 (美东)
卖出,CRML,Critical Metals,13.2,"1,000","13,200.00",全部成交,"1,000@13.20",2026/05/07 09:44:30 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,7,13.2,92.4,2026/05/07 09:44:34 (美东)
卖出,INTC,英特尔,110.41,90,"9,936.90",全部成交,90@110.49,2026/05/07 09:42:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,90,110.49,"9,944.10",2026/05/07 09:42:19 (美东)
卖出,INTC,英特尔,96.38,114,"10,987.32",全部成交,114@96.40,2026/05/04 15:35:47 (美东),限价单,当日有效,,盘中,,,美股,USD,,114,96.4,"10,989.60",2026/05/04 15:35:47 (美东)
卖出,INTC,英特尔,80.92,232,"18,773.44",全部成交,232@81.00,2026/04/28 09:34:08 (美东),限价单,当日有效,,盘中,,,美股,USD,,232,81,"18,792.00",2026/04/28 09:34:09 (美东)
卖出,MSFT,微软,418.76,80,"33,500.80",全部成交,80@418.76,2026/04/23 09:57:11 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,80,418.76,"33,500.80",2026/04/23 09:57:11 (美东)
卖出,BABA,阿里巴巴,137.77,300,"41,331.00",全部成交,300@137.77,2026/04/21 10:16:12 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,178,137.77,"24,523.06",2026/04/21 10:17:01 (美东)
卖出,INTC,英特尔,62.47,224,"13,993.28",全部成交,224@62.4701,2026/04/14 11:43:36 (美东),限价单,当日有效,,盘中,,,美股,USD,,224,62.4701,"13,993.30",2026/04/14 11:43:37 (美东)
卖出,AAPL,苹果,259.68,39,"10,127.52",全部成交,39@259.68,2026/04/06 10:10:14 (美东),限价单,当日有效,,盘中,,,美股,USD,,20,259.68,"5,193.60",2026/04/06 10:10:15 (美东)
卖出,CRML,Critical Metals,7.97,500,"3,985.00",全部成交,500@7.9732,2026/04/02 09:41:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,7.9732,"3,986.60",2026/04/02 09:41:28 (美东)
买入,CRML,Critical Metals,7.92,500,"3,960.00",全部成交,500@7.92,2026/03/20 11:12:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,7.92,"3,960.00",2026/03/20 11:12:40 (美东)
买入,BABA,阿里巴巴,121.45,300,"36,435.00",全部成交,300@121.45,2026/03/19 09:36:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,121.45,"36,435.00",2026/03/19 09:36:47 (美东)
买入,AAPL,苹果,255.58,70,"17,890.60",全部成交,70@255.52,2026/03/13 10:04:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,70,255.52,"17,886.40",2026/03/13 10:04:10 (美东)
买入,BABA,阿里巴巴,137.43,300,"41,229.00",全部成交,300@137.43,2026/03/10 10:44:51 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,137.43,"41,229.00",2026/03/10 10:44:53 (美东)
买入,CRML,Critical Metals,9.76,500,"4,880.00",全部成交,500@9.76,2026/03/06 10:20:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,500,9.76,"4,880.00",2026/03/06 10:20:47 (美东)
买入,BABA,阿里巴巴,146.9,300,"44,070.00",全部成交,300@146.90,2026/02/26 14:28:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,300,146.9,"44,070.00",2026/02/26 14:30:25 (美东)
买入,TSLA,特斯拉,414.86,50,"20,743.00",全部成交,50@414.8562,2026/02/25 12:48:41 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,50,414.8562,"20,742.81",2026/02/25 12:48:41 (美东)
